energy_kev,no_cut_counts_per_1kev,score_ge_threshold_counts_per_1kev
477.5,1929,1209
478.5,1966,1240
479.5,1937,1267
480.5,1839,1165
481.5,1798,1099
482.5,1760,1088
483.5,1792,1101
484.5,1780,1100
485.5,1737,1088
486.5,1856,1127
487.5,1724,1082
488.5,1790,1140
489.5,1768,1059
490.5,1786,1108
491.5,1841,1149
492.5,1748,1086
493.5,1787,1119
494.5,1739,1073
495.5,1812,1079
496.5,1790,1099
497.5,1742,1044
498.5,1737,1073
499.5,1750,1070
500.5,1744,1066
501.5,1809,1139
502.5,1898,1150
503.5,1891,1188
504.5,1948,1211
505.5,1980,1228
506.5,2498,1585
507.5,3721,2494
508.5,6013,4279
509.5,8746,6444
510.5,9767,7298
511.5,8297,6175
512.5,5444,3995
513.5,3223,2165
514.5,2105,1333
515.5,1839,1143
516.5,1750,1060
517.5,1632,968
518.5,1631,1000
519.5,1664,1019
520.5,1734,1072
521.5,1620,986
522.5,1709,1011
523.5,1725,1044
524.5,1730,1039
525.5,1641,1005
526.5,1624,973
527.5,1576,948
528.5,1687,1023
529.5,1651,978
530.5,1649,998
531.5,1594,938
532.5,1566,945
533.5,1612,982
534.5,1649,996
535.5,1733,1012
536.5,1609,959
537.5,1576,949
538.5,1661,983
539.5,1656,1017
540.5,1624,996
541.5,1607,989
542.5,1636,1025
543.5,1577,953
544.5,1621,981
545.5,1669,1050
546.5,1728,1058
547.5,1761,1087
548.5,1747,1078
549.5,1669,1024
550.5,1650,1022
551.5,1711,1069
552.5,1632,999
553.5,1617,980
554.5,1643,987
555.5,1672,1065
556.5,1544,945
557.5,1650,988
558.5,1641,988
559.5,1675,1059
560.5,1776,1071
561.5,2025,1360
562.5,2151,1391
563.5,2137,1390
564.5,1946,1211
565.5,1742,1084
566.5,1621,994
567.5,1637,1030
568.5,1646,985
569.5,1686,1033
570.5,1717,1047
571.5,1709,1089
572.5,1806,1124
573.5,1726,1090
574.5,1625,1025
575.5,1649,1019
576.5,1690,1065
577.5,1751,1089
578.5,1980,1235
579.5,2671,1724
580.5,5321,3691
581.5,11380,8414
582.5,19483,14929
583.5,23552,18307
584.5,19458,15242
585.5,10844,8405
586.5,4715,3458
587.5,2204,1459
588.5,1555,973
589.5,1450,840
590.5,1492,923
591.5,1364,843
592.5,1559,935
593.5,1498,849
594.5,1427,834
595.5,1364,783
596.5,1411,827
597.5,1368,796
598.5,1357,802
599.5,1413,817
600.5,1438,835
601.5,1391,788
602.5,1359,840
603.5,1424,854
604.5,1371,781
605.5,1393,827
606.5,1492,884
607.5,1465,889
608.5,1527,918
609.5,1542,918
610.5,1451,914
611.5,1478,888
612.5,1449,875
613.5,1405,854
614.5,1359,825
615.5,1421,855
616.5,1453,845
617.5,1463,884
618.5,1449,854
619.5,1473,875
620.5,1493,898
621.5,1506,902
622.5,1439,862
623.5,1483,893
624.5,1422,853
625.5,1531,886
626.5,1463,846
