threshold,selected_events,selected_fraction,geometric_mean_pb_improvement,minimum_peak_retention,mean_peak_retention,pooled_net_peak_retention,all_peak_statistics_reliable,sensitivity_geometric_mean_pb_improvement_excluding_209,sensitivity_minimum_peak_retention_excluding_209,sensitivity_mean_peak_retention_excluding_209,sensitivity_statistics_reliable_excluding_209
0.1875,2857099,0.9899473755696244,1.0136801380308997,0.9949766927348356,0.9999177603123739,0.9999304442398305,True,1.0141339116077672,0.9949766927348356,1.0000306012665936,True
0.188,2856996,0.9899116874189221,1.0137158440779854,0.9949766927348356,0.9999338933629444,0.9999261899958066,True,1.0141303910938662,0.9949766927348356,1.000012560834839,True
0.1885,2856883,0.9898725343992194,1.013904607415555,0.9963700810175156,1.00001808619484,0.9999129231607259,True,1.0143528254663432,0.9963700810175156,1.0001218290965723,True
0.189,2856756,0.9898285305629165,1.0138289410505983,0.9956645230548554,0.999909812844785,0.9998972460323325,True,1.0143006747310122,0.9956645230548554,1.0000330017753298,True
0.1895,2856628,0.9897841802397135,1.0138838410929183,0.9956645230548554,0.9999173217996591,0.9998839979090176,True,1.0143400783266285,0.9956645230548554,1.0000233526038431,True
0.19,2856487,0.9897353255868102,1.0139581405338534,0.9956645230548554,0.9999143455462397,0.999860725685202,True,1.0143969647274107,0.9956645230548554,0.9999986558703076,True
0.1905,2856371,0.9896951331064076,1.0138606055789523,0.9942534071295352,0.9997847904637229,0.9998459934554949,True,1.0142670421048448,0.9942534071295352,0.9998368074404499,True
0.191,2856266,0.9896587519819051,1.0139801556596097,0.9949610423561359,0.9998513108230938,0.9998445081890179,True,1.0143999296485646,0.9949610423561359,0.9999107189508621,True
0.1915,2856142,0.9896157876063022,1.0141020392160112,0.9949610423561359,0.9998664229735361,0.9998450445339767,True,1.0145137930059516,0.9949610423561359,0.9999095176307002,True
0.192,2856029,0.9895766345865995,1.0142263688292519,0.9949610423561359,0.9999107378433543,0.9998476396743126,True,1.0146303747442027,0.9949610423561359,0.9999407638618477,True
