reference_energy_kev,observed_centroid_kev,model,acceptance,score_threshold,events,roi_counts,estimated_background_counts,net_peak_counts,peak_to_background,pb_improvement_factor_vs_no_cut,net_peak_retention_vs_no_cut,requested_weighted_acceptance,actual_weighted_acceptance
1588.19,1590.1261445246755,ds_cnn,95pct,0.3131766617298126,2686938,10972.336903236652,2234.8024959306927,8737.534407305959,3.909756868097275,1.007057553491073,0.8662204930709981,0.95,0.9500084827457328
1588.19,1590.1261445246755,ds_cnn,90pct,0.3610769510269165,2524340,10071.753927553884,2041.8310507401648,8029.922876813719,3.9327068093625415,1.0129688959307912,0.796069397776519,0.9,0.9000398620714374
1588.19,1590.1261445246755,ds_cnn,80pct,0.4259090721607208,2149368,8697.808817676141,1751.8060549718741,6946.002762704267,3.9650523772255073,1.0213003215250918,0.6886118734996037,0.8,0.8000097830110133
1588.19,1590.1261445246755,ds_cnn,50pct,0.5535972118377686,1078466,5667.561180475117,1124.2548504682404,4543.306330006877,4.0411712060789755,1.0409066664068605,0.45041368261284787,0.5,0.5000435097534494
1588.19,1590.1261445246755,ds_cnn,30pct,0.6198919415473938,573003,3552.9716282895006,718.037583296076,2834.9340449934243,3.948169442579813,1.0169516913075005,0.28104930427794694,0.3,0.3000493794488807
1588.19,1590.1261445246755,ds_cnn,10pct,0.705547571182251,169549,1175.9403931283036,237.10548107342237,938.8349120548812,3.9595664672305086,1.019887285552621,0.09307408732518993,0.1,0.10000152576539618
2614.511,2614.3031839872965,ds_cnn,none,,2886112,40180.812270327966,741.1104543400035,39439.70181598796,53.217036117930654,1.0,1.0,,
2614.511,2614.3031839872965,ds_cnn,99pct,0.24029693007469177,2820569,39996.13649689181,719.6542157295767,39276.482281162236,54.57688070560973,1.0255528057719265,0.9958615423720177,0.99,0.9900345336617032
2614.511,2614.3031839872965,ds_cnn,95pct,0.3131766617298126,2686938,38992.44726652687,615.0869063700264,38377.36036015685,62.39339508402678,1.172432732739212,0.9730641610631938,0.95,0.9500084827457328
2614.511,2614.3031839872965,ds_cnn,90pct,0.3610769510269165,2524340,37566.84707482348,547.7432027314014,37019.103872092084,67.58478003467852,1.2699839180240795,0.9386253487617744,0.9,0.9000398620714374
2614.511,2614.3031839872965,ds_cnn,80pct,0.4259090721607208,2149368,34451.25568983983,479.9413232216285,33971.3143666182,70.78222424896478,1.3300670126030527,0.861348154332318,0.8,0.8000097830110133
2614.511,2614.3031839872965,ds_cnn,50pct,0.5535972118377686,1078466,24943.1540529255,338.5914048432948,24604.562648082207,72.6674165266232,1.3654916137304205,0.6238526539292464,0.5,0.5000435097534494
2614.511,2614.3031839872965,ds_cnn,30pct,0.6198919415473938,573003,16618.278041952017,229.20139831758038,16389.076643634435,71.50513375544858,1.3436511871309578,0.41554768137193865,0.3,0.3000493794488807
2614.511,2614.3031839872965,ds_cnn,10pct,0.705547571182251,169549,5118.114381998454,85.86435064349546,5032.250031354958,58.606977094005074,1.1012822466123469,0.12759351109787037,0.1,0.10000152576539618
